№ п/п|№ п/п в субъекте|Номер УИК/Наименование ТИК|ID объекта|name|IP||Район|Площадка||mgmt ip коммутатора|шлюз|outer|inner
11568|342|2510|61832| de0-sch63-ats45 | 172.30.35.195 |6 port|Липецк|ats45|10.131.194.53|10.131.194.50|10.131.194.49|1000|682
11569|343|2511|61833| de0-sch63-ats45 | 172.30.35.195 |7 port|Липецк|ats45|10.131.194.69|10.131.194.66|10.131.194.65|1000|681
11570|344|2512|61834| de0-sch63-ats45 | 172.30.35.195 |8 port|Липецк|ats45|10.131.194.85|10.131.194.82|10.131.194.81|1000|680
11566|340|2508|159306| he0-sch70-ats45 | 172.30.145.145 |Eth0/0/19|Липецк|ats45|10.131.218.149|10.131.218.146|10.131.218.145|1000|652
11567|341|2509|61838| he0-sch70-ats45 | 172.30.145.145 |Eth0/0/20|Липецк|ats45|10.131.194.133|10.131.194.130|10.131.194.129|1000|653
11564|338|2506|61889| he0-sch70-ats45 | 172.30.145.145 |eth0/0/21|Липецк|ats45|10.131.197.5|10.131.197.2|10.131.197.1|1000|654
11565|339|2507|61836| he0-sch70-ats45 | 172.30.145.145 |eth0/0/22|Липецк|ats45|10.131.194.101|10.131.194.98|10.131.194.97|1000|655
11571|345|2513|61831| e12-a019-ats45 | 172.25.169.14  |eth0/0/24|Липецк|ats45|10.131.194.37|10.131.194.34|10.131.194.33|1049|3220
11560|334|2501|61897| he0-sch68-ats45 | 172.30.35.223 |eth0/0/22|Липецк|ats45|10.131.197.69|10.131.197.66|10.131.197.65|1000|630
11561|335|2502|61898| he0-sch68-ats45 | 172.30.35.223 |eth0/0/23|Липецк|ats45|10.131.197.85|10.131.197.82|10.131.197.81|1000|631
11563|337|2505|61899| he0-sch68-ats45 | 172.30.35.223 |eth0/0/24|Липецк|ats45|10.131.197.101|10.131.197.98|10.131.197.97|1000|649
11428|202|2214|153431| de0-sch63-ats45 | 172.30.35.195 |port 8|Липецк|ats45|10.131.217.165|10.131.217.162|10.131.217.161|1000|680
11429|203|2215|153432| de0-sch63-ats45 | 172.30.35.195 |port 7|Липецк|ats45|10.131.217.181|10.131.217.178|10.131.217.177|1000|681
11430|204|2216|153433| de0-sch63-ats45 | 172.30.35.195 |port 6|Липецк|ats45|10.131.217.197|10.131.217.194|10.131.217.193|1000|682
11433|207|2219|153436| sals0-sch42-ats45 | 172.30.145.140 |Als-razriv|Липецк|ats45|10.131.217.245|10.131.217.242|10.131.217.241|1000|657
11434|208|2220|153437| sals0-sch42-ats45 | 172.30.145.140 |Als-razriv|Липецк|ats45|10.131.218.5|10.131.218.2|10.131.218.1|1000|658
11435|209|2221|153438| sals0-sch42-ats45 | 172.30.145.140 |Als-razriv|Липецк|ats45|10.131.218.21|10.131.218.18|10.131.218.17|1000|659
11562|336|2504|61900| de0-sport_stah10a-ats45 | 172.30.35.4 |port 24|Липецк|ats45|10.131.197.117|10.131.197.114|10.131.197.113|1017|1440
11436|210|2222|153439| he0-sch21-ats45 | 172.30.35.198 |eth0/0/22|Липецк|ats45|10.131.218.37|10.131.218.34|10.131.218.33|1000|669
11437|211|2223|153440| he0-sch21-ats45 | 172.30.35.198 |eth0/0/23|Липецк|ats45|10.131.218.53|10.131.218.50|10.131.218.49|1000|670
11438|212|2224|153441| he0-sch21-ats45 | 172.30.35.198 |eth0/0/24|Липецк|ats45|10.131.218.69|10.131.218.66|10.131.218.65|1000|671
11441|215|2227|61907| qt0-college-ats45 | 172.30.35.98 |eth1/0/24|Липецк|ats45|10.131.197.213|10.131.197.210|10.131.197.209|1025|2801
11359|133|1521|137903| sals0-sch-troitsk | 172.30.145.147 |Als-razriv|Липецкий район|ats45|10.131.214.85|10.131.214.82|10.131.214.81|1005|769
11360|134|1523|137966| sals0-sch-lenino | 172.30.145.150 |Als-razriv|Липецкий район|ats45|10.131.214.117|10.131.214.114|10.131.214.113|1022|603
11361|135|1524|153409| sals0-sch-lenino | 172.30.145.150 |Als-razriv|Липецкий район|ats45|10.131.216.85|10.131.216.82|10.131.216.81|1022|602
11367|141|1536|137972| sals0-syr | 172.30.145.130 |Als-razriv|Липецкий район|ats45|10.131.214.213|10.131.214.210|10.131.214.209|1004|762
11368|142|1537|137973| sals0-sch-hrusch | 172.30.145.148 |Als-razriv|Липецкий район|ats45|10.131.214.229|10.131.214.226|10.131.214.225|1004|771
