№ п/п|№ п/п в субъекте|Номер УИК/Наименование ТИК|ID объекта|name|IP||Район|Площадка||mgmt ip коммутатора|шлюз|outer|inner
11451|225|2240|148164| e22-a005-dov | 172.25.156.90 |Gi0/0/3|Липецк|dov|10.131.195.133|10.131.195.130|10.131.195.129|1138|3420
11448|222|2237|61950| he0-kolisk-dov | 172.30.36.22 |eth0/0/24|Липецк|dov|10.131.198.181|10.131.198.178|10.131.198.177|1100|881
11449|223|2238|61951| e7-a000-dov | 172.26.220.50 |port 22|Липецк|dov|10.131.198.197|10.131.198.194|10.131.198.193|1132|3120
11450|224|2239|61952| e7-a000-dov | 172.26.220.50 |port 23|Липецк|dov|10.131.198.213|10.131.198.210|10.131.198.209|1132|3121
11444|218|2232|61945| e5-a008-dov | 172.25.157.226 |22 port|Липецк|dov|10.131.198.133|10.131.198.130|10.131.198.129|1141|3080
11452|226|2241|61954| e2-a004-dov | 172.25.155.10 |Gi1/1/2|Липецк|dov|10.131.198.229|10.131.198.226|10.131.198.225|1137|3020
11442|216|2228|61908| qt0-tehnikumservisa-dov | 172.30.36.66 |eth1/0/8|Липецк|dov|10.131.197.229|10.131.197.226|10.131.197.225|1103|864
11443|217|2229|61909| qt0-tehnikumservisa-dov | 172.30.36.66 |Eth1/0/10|Липецк|dov|10.131.197.245|10.131.197.242|10.131.197.241|1103|865
11440|214|2226|153443| he0-mashkol-dov | 172.30.36.26 |eth0/0/24|Липецк|dov|10.131.218.85|10.131.218.82|10.131.218.81|1100|893
11456|230|2245|61958| he0-sch64-dov | 172.30.36.33 |eth0/0/17|Липецк|dov|10.131.199.37|10.131.199.34|10.131.199.33|1100|696
11457|231|2246|61994| he0-sch64-dov | 172.30.36.33 |eth0/0/18|Липецк|dov|10.131.199.117|10.131.199.114|10.131.199.113|1100|697
