№ п/п|№ п/п в субъекте|Номер УИК/Наименование ТИК|ID объекта|name|IP||Район|Площадка||mgmt ip коммутатора|шлюз|outer|inner
11253|27|246|137722| hf0-fash-grz | 172.30.74.74 |Gi0/0/23|Грязи|grz|10.131.211.165|10.131.211.162|10.131.211.161|2238|764
11229|3|202|62409| sals0-sch10 | 172.30.152.37 |Als-razriv|Грязи|grz|10.131.202.181|10.131.202.178|10.131.202.177|2238|743
11204|2|TIK_grz|92457| le0-tik | 172.30.75.76 |gi0/24|Грязи|grz|10.131.209.229|10.131.209.226|10.131.209.225|2244|1824
11248|22|228|137717| sals0-dvurech | 172.30.152.5 |Als-razriv|Грязи|grz|10.131.211.85|10.131.211.82|10.131.211.81|2238|647
11252|26|242|137721| sals0-soshk | 172.30.152.15 |Als-razriv|Грязи|grz|10.131.211.149|10.131.211.146|10.131.211.145|2238|763
11246|20|224|138948| bsam-sch-he0 | 172.30.74.198 |eth0/0/2|Грязи|grz|10.131.215.229|10.131.215.226|10.131.215.225|2234|821
11251|25|240|137720| sals0-plehan | 172.30.152.12 |Als-razriv|Грязи|grz|10.131.211.133|10.131.211.130|10.131.211.129|2237|735
11247|21|225|138949| sals0-butyr | 172.30.152.3 |Als-razriv|Грязи|grz|10.131.215.245|10.131.215.242|10.131.215.241|2237|739
11250|24|235|137719| sinyavka-qt0 | 172.30.74.22 |eth1/0/8|Грязи|grz|10.131.211.117|10.131.211.114|10.131.211.113|2238|718
11242|16|220|61784| sals0-sch3 | Алситек Нет ip (172.30.152.20) |Als-razriv|Грязи|grz|10.131.193.37|10.131.193.34|10.131.193.33|2243|635
11237|11|213|153427| maukckr-he0 | 172.30.74.190 |eth0/0/20|Грязи|grz|10.131.217.117|10.131.217.114|10.131.217.113|2231|603
11241|15|218|61782| qt0-rodnichek | 172.30.75.48 |eth1/0/24|Грязи|grz|10.131.193.21|10.131.193.18|10.131.193.17|2247|1532
11236|10|212|61778| de0-dussch | 172.30.74.234 |port 8|Грязи|grz|10.131.192.213|10.131.192.210|10.131.192.209|2235|702
11243|17|221|61785| sals0-sch11 | 172.30.152.48  |Als-razriv|Грязи|grz|10.131.193.53|10.131.193.50|10.131.193.49|2243|1104
11234|8|207|87310| sals0-sch12 | Алситек Нет ip (172.30.152.21) |Als-razriv|Грязи|grz|10.131.209.165|10.131.209.162|10.131.209.161|2235|763
11233|7|206|62458| de0-internat | 172.30.74.132 |port 23|Грязи|grz|10.131.204.37|10.131.204.34|10.131.204.33|2238|875
11239|13|215|61780| sals0-sch7 | 172.30.152.30 |Als-razriv|Грязи|grz|10.131.192.245|10.131.192.242|10.131.192.241|2231|703
11235|9|208|62459| vodocanal-he0 | 172.30.74.151 |eth0/0/3|Грязи|grz|10.131.204.53|10.131.204.50|10.131.204.49|2235|698
11232|6|205|62412| sasl0-sch2 | 172.30.152.38 |Als-razriv|Грязи|grz|10.131.202.229|10.131.202.226|10.131.202.225|2231|707
11240|14|216|61781| qt0-chayka-grz | 172.30.74.46 |eth1/0/2|Грязи|grz|10.131.193.5|10.131.193.2|10.131.193.1|2247|524
11244|18|222|61786| he0-gkz-grz | 172.30.74.166 |eth0/0/3|Грязи|grz|10.131.193.69|10.131.193.66|10.131.193.65|2243|923
11230|4|203|62410| sals0-sch1 | 172.30.152.41 |Als-razriv|Грязи|grz|10.131.202.197|10.131.202.194|10.131.202.193|2238|747
