№ п/п|№ п/п в субъекте|Номер УИК/Наименование ТИК|ID объекта|name|IP||Район|Площадка||mgmt ip коммутатора|шлюз|outer|inner
11502|276|2412|62064| he0-sch5-mts | 172.30.42.108 |Eth0/0/23|Липецк|mts|10.131.202.21|10.131.202.18|10.131.202.17|702|710
11503|277|2413|62667| he0-sch5-mts | 172.30.42.108 |eth0/0/24|Липецк|mts|10.131.207.165|10.131.207.162|10.131.207.161|702|711
11504|278|2414|62668| sals0-sch19-mts | 172.30.144.6 |Als-razriv|Липецк|mts|10.131.207.181|10.131.207.178|10.131.207.177|702|606
11505|279|2415|62669| sals0-sch19-mts | 172.30.144.6 |Als-razriv|Липецк|mts|10.131.207.197|10.131.207.194|10.131.207.193|702|607
11501|275|2411|62063| he0-politeh-mts | 172.30.32.162 |eth0/0/24|Липецк|mts|10.131.202.5|10.131.202.2|10.131.202.1|722|2497
11468|242|2307|62019| de0-sch24-mts | 172.30.42.158 |port 7|Липецк|mts|10.131.199.229|10.131.199.226|10.131.199.225|702|610
11469|243|2308|62020| de0-sch24-mts | 172.30.42.158 |port 8|Липецк|mts|10.131.199.245|10.131.199.242|10.131.199.241|702|611
11226|24|TIK2_okt|92290| le1-tik-mts | 172.30.32.161 |gi0/24|Липецк|mts|10.131.209.213|10.131.209.210|10.131.209.209|722|2496
11470|244|2309|62021| he0-gimnaz12-mts | 172.30.32.50 |eth0/0/24|Липецк|mts|10.131.200.5|10.131.200.2|10.131.200.1|725|612
11473|247|2312|62061| he0-sch8-mts | 172.30.42.76 |24 port|Липецк|mts|10.131.201.229|10.131.201.226|10.131.201.225|702|639
11474|248|2313|62025| he0-sch8-mts | 172.30.42.76 |23 port|Липецк|mts|10.131.200.53|10.131.200.50|10.131.200.49|702|638
11475|249|2314|62026| als_sw | 172.25.167.144 |10 port|Липецк|mts|10.131.200.69|10.131.200.66|10.131.200.65|747|3260
11480|254|2319|62031| he0-lgpu-mts | 172.30.42.161 |eth0/0/24|Липецк|mts|10.131.200.149|10.131.200.146|10.131.200.145|710|727
11481|255|2320|62032| he0-sch9-mts | 172.30.42.107 |eth0/0/24|Липецк|mts|10.131.200.165|10.131.200.162|10.131.200.161|702|603
11471|245|2310|62022| qt8-bglip-mts | 172.30.32.119 |eth1/0/23|Липецк|mts|10.131.200.21|10.131.200.18|10.131.200.17|722|1009
11472|246|2311|62023| qt8-bglip-mts | 172.30.32.119 |eth1/0/24|Липецк|mts|10.131.200.37|10.131.200.34|10.131.200.33|722|1010
11478|252|2317|62029| de0-uprzdrav-mts | 172.30.42.129 |port 8|Липецк|mts|10.131.200.117|10.131.200.114|10.131.200.113|795|685
11479|253|2318|62030| he0-zags_lenina-mts | 172.30.32.106 |eth0/0/24|Липецк|mts|10.131.200.133|10.131.200.130|10.131.200.129|722|624
11476|250|2315|62027| de0-sch44-mts | 172.30.42.159 |port 7|Липецк|mts|10.131.200.85|10.131.200.82|10.131.200.81|702|614
11477|251|2316|62028| de0-sch44-mts | 172.30.42.159 |port 8|Липецк|mts|10.131.200.101|10.131.200.98|10.131.200.97|702|615
11224|22|TIK_pravoberez|92472| le0-tik-mts | 172.30.32.160 |gi0/24|Липецк|mts|10.131.210.213|10.131.210.210|10.131.210.209|722|2448
11493|267|2332|62050| sch35-he0 | 172.30.32.77 |eth0/0/24|Липецк|mts|10.131.201.69|10.131.201.66|10.131.201.65|714|775
11494|268|2333|62051| sch35-he0 | 172.30.32.77 |eth0/0/23|Липецк|mts|10.131.201.85|10.131.201.82|10.131.201.81|714|774
